Tweet,Score,Sentiment
b'Tweet b RT Question nDid Donald J Trump actually graduate from Univ of Pennsylvania Wharton School of Business nRumors are he got xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT xe2 x80 x9cTo Brett thank you for having the courage to stay in there when a lot of people would quit I xe2 x80 x99m forever grateful to both Brett K xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT This story is disturbing absurd and emblematic of our bizarre new political reality where a contractor staffed by former xe2 x80 xa6 Score None Sentiment None',-0.07727272727272727,Negative
b'Tweet b RT Dem Sen Gillibrand Trump xe2 x80 x99s xe2 x80 x98Values Don xe2 x80 x99t Line Up with Most Americans xe2 x80 x99 Breitbart n nTrump is pro life pro constitution pr xe2 x80 xa6 Score None Sentiment None',0.5,Positive
b'Tweet b RT Thanks to Trump the Republican Leadership Has a Backbone Now Leaving the Question Whether They Know How to Operate With xe2 x80 xa6 Score None Sentiment None',0.2,Positive
b'Tweet b RT The Republican congressmen playing the victim on tv over the last couple days are in unity with Trump presiding over and xe2 x80 xa6 Score None Sentiment None',-0.037500000000000006,Negative
b'Tweet b RT xe2 x80 x9cCali Black woman GO OFF at City Council as she exposes how MS 13 amp illegal immigration hurts black communities the most Pr xe2 x80 xa6 Score None Sentiment None',-0.08333333333333331,Negative
b'Tweet b RT How Trump drove me out of the GOP My interview on xe2 x81 xa6 xe2 x81 xa6 Joe xe2 x81 xa9 about xe2 x80 x9cThe Corrosion of Conservatism Why I Left the Right xe2 x80 xa6 Score None Sentiment None',0.14285714285714285,Positive
b'Tweet b RT John Kerry sounds like a 2020 candidate Score None Sentiment None',0.0,Neutral
b'Tweet b Why would she say she is campaigning for Trump in 2020 then Score None Sentiment None',0.0,Neutral
b'Tweet b RT Don xe2 x80 x99t let the distraction of get you The GIANT story is the FBI informants that ratted our the entire uppe xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT nagel68 oh dear god this gary glitter trump isn t remotely hiding who he is Score None Sentiment None',-0.1,Negative
b'Tweet b RT mariotti That would violate 5 U S C Section 3110 which prevents public officials like Trump from appointing family members xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Anthony Kennedy xe2 x80 x99s retirement which had Trump Russia fingerprints all over it is a bigger scandal than ever Score None Sentiment None',0.0,Neutral
b'Tweet b RT 22 Trump is more indolent than some corpses He despises black people loathes Hispanics thinks Muslims not contributing xe2 x80 xa6 Score None Sentiment None',0.16666666666666669,Positive
b'Tweet b RT Nikki Haley violated the Hatch Act supported putting kidnapped kids in cages and accepted lavish gif xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b why do you follow trump Score None Sentiment None',0.0,Neutral
b'Tweet b RT John Kerry sounds like a 2020 candidate Score None Sentiment None',0.0,Neutral
b'Tweet b RT Again Trump s campaign launch included paid attendees and the campaign didn t pay the firm that hired them for months Score None Sentiment None',-0.2,Negative
b'Tweet b RT will Nimrata is gone but nothing will change at the UN Trump will appoint another ambassador for Israel in the service of N xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b Trump fraud bombshell The New York Times report is just the tip of the iceberg here s how international investi xe2 x80 xa6 Score None Sentiment None',0.06818181818181818,Positive
b'Tweet b Some GET IT some don t Maybe it s just the luck of the draw n nLike it or not despite the idiotic mainstream xe2 x80 xa6 Score None Sentiment None',-0.6666666666666666,Negative
b'Tweet b RT Well I make one prediction if Ivanka or Don Don run for high office and anyone complains about the Trump political dyn xe2 x80 xa6 Score None Sentiment None',0.08,Positive
b'Tweet b RT Anthony Kennedy xe2 x80 x99s retirement which had Trump Russia fingerprints all over it is a bigger scandal than ever Score None Sentiment None',0.0,Neutral
b'Tweet b GOP strategist gets hilariously mocked after trying to convince MSNBC that xe2 x80 x98America is smitten with Ivanka Trump xe2 x80 x99 Score None Sentiment None',0.5,Positive
b'Tweet b I liked a video xf0 x9f x94 xb4 President Trump Nikki Haley EXPLOSIVE Press Conference Accepts Resignation as Score None Sentiment None',0.6,Positive
b'Tweet b RT Just moments ago President Trump announced that E15 will soon be available year round Today will go down in history as xe2 x80 xa6 Score None Sentiment None',0.014814814814814808,Positive
b'Tweet b RT Actually he s a fucking moron like everyone else in the Trump inner circle It is the band of dumbass bandits powered xe2 x80 xa6 Score None Sentiment None',-0.4,Negative
b'Tweet b Nikki Haley to Resign as Trump xe2 x80 x99s Ambassador to the U N Score None Sentiment None',0.0,Neutral
b'Tweet b xe2 x80 x9cIf the world won xe2 x80 x99t be viable for human habitation soon xe2 x80 x9d Who or how will future generatio xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b Trump McConnell Nunes Graham Jim Walk Away Jordan n nToughest omissions Collins xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT ewell Ignore the TV ads Just Register amp xf0 x9f x87 xba xf0 x9f x87 xb8 VoteRedMidterms2018 xf0 x9f x87 xba xf0 x9f x87 Score None Sentiment None',0.0,Neutral
b'Tweet b Lindsey Graham Third Term For Trump Is Looking Better And Better Score None Sentiment None',0.3333333333333333,Positive
b'Tweet b RT I think it has been well established that no matter n nANY nominee nANY bill nANY vote nANY attempted compromise nANYTHING Presi xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT What emerges from this body of evidence is a financial biography of the 45th president fundamentally at odds with the story Do xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b im not super political or informed help me out do trump supporters actually think xe2 x80 xa6 Score None Sentiment None',-0.05555555555555555,Negative
b'Tweet b RT Rush Nailed It nPres Trump is proving to be a tough adversary for the Left Trump held strong in support of Kavanaugh xe2 x80 xa6 Score None Sentiment None',0.0148148148148148,Positive
b'Tweet b RT Last week Trump claimed that there were 45 000 and 44 000 people stuck outside his September rally in Springfield Missour xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT When Trump and Republicans attack the millions of Americans who oppose Kavanaugh as paid protesters or as being manipu xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT xe2 x80 x9cPresident Donald J Trump Approves Florida Emergency Declaration xe2 x80 x9d Score None Sentiment None',0.0,Neutral
b'Tweet b RT Trump is visiting Pennsylvania for the 2nd time this month He s determined to elect a Republican governor Let s show xe2 x80 xa6 Score None Sentiment None',0.4,Positive
b'Tweet b RT A surprisingly empathetic review of Max Boot xe2 x80 x99s new book from Well worth a read n n Score None Sentiment None',0.37878787878787873,Positive
b'Tweet b RT Thank you Amb Haley for standing for the truth and exposing hypocrisy at the UN Just as the people of Israel are grateful xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Can xe2 x80 x99t believe would want to subject Ivanka to a senate confirmation that would necessarily delve into th xe2 x80 xa6 Score None Sentiment None',-0.08333333333333333,Negative
b'Tweet b RT Why not How about 1 she is not qualified and 2 we are or should aspire to be a democracy and not a monarchy or a House o xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Shock report US paying more for illegal immigrant births than Trump xe2 x80 x99s wall ma4t Score None Sentiment None',0.0,Neutral
b'Tweet b RT MORE Trump says Ivanka would be incredible at the U N but he would be accused of nepotism if he chose her Score None Sentiment None',0.7,Positive
b'Tweet b Trump Iowa rally ethanol E15 gas change to ease trade war pain Score None Sentiment None',0.0,Neutral
b'Tweet b RT Does the Trump Family want Ric Grenell to replace Nikki Haley at the UN despite the fact that he s publicly gone to bat fo xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT what doesn t make sense is why Haley is doing this before mid term elections rather than after which would be the normal xe2 x80 xa6 Score None Sentiment None',0.075,Positive
b'Tweet b RT David Tennant on Donald Trump is what you need to hear right now TheLastLeg Tennant Score None Sentiment None',0.2857142857142857,Positive
b'Tweet b RT Nikki Haley is resigning Don xe2 x80 x99t even think about praising her just because she was one of the least incompetent and sycophan xe2 x80 xa6 Score None Sentiment None',-0.32499999999999996,Negative
b'Tweet b RT Raise your hand if you are thankful to Nikki Haley for her service and wish her the best n n Nikki Haley xf0 x9f x87 xae xf0 x9f x87 xb1 xf0 x9f x87 xba xf0 x9f x87 xb8 n MA xe2 x80 xa6 Score None Sentiment None',1.0,Positive
b'Tweet b RT It amazes me how much credit Trump gets for this economy while no one mentions the record setting budget deficit Anyone can xe2 x80 xa6 Score None Sentiment None',0.2,Positive
b'Tweet b Laflare Could any of you kids seriously see trump trying to get the FBI and DOJ on any xe2 x80 xa6 Score None Sentiment None',-0.3333333333333333,Negative
b'Tweet b RT Let the radical anti Trump mob get arrested in mass and make fools of themselves on national TV all you need to worry a xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT A reminder that Ivanka Trump made 3 9 million last year from Trump Hotel DC which is frequented by foreign officials That xe2 x80 x99 xe2 x80 xa6 Score None Sentiment None',-0.0625,Negative
b'Tweet b RT I met with the top echelon of the British establishment while an advisor I hold Theresa May xe2 x80 x99s letter of congratulations xe2 x80 xa6 Score None Sentiment None',0.25,Positive
b'Tweet b RT You just can xe2 x80 x99t fix stupid n nFox amp Friends posted a tweet claiming Trump xe2 x80 x99s approval soared to 41 Percent n Score None Sentiment None',-0.7999999999999999,Negative
b'Tweet b RT Thank you Amb Haley for standing for the truth and exposing hypocrisy at the UN Just as the people of Israel are grateful xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT LIBERALISM nis a condition that affects a person s thinking feeling or mood Such conditions may affect someone s ability xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b All that work you did for him just to use Donald trump with a chubby feller smh Score None Sentiment None',0.0,Neutral
b'Tweet b RT xe2 x80 x9cTo Brett thank you for having the courage to stay in there when a lot of people would quit I xe2 x80 x99m forever grateful to both Brett K xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT The Despicable Hillary finally told the truth n nThe Corrupt cabal to take down POTUS Trump is NOT talking It takes on xe2 x80 xa6 Score None Sentiment None',-0.21851851851851853,Negative
b'Tweet b RT In front of the entire country and world live on every major outlet Donald Trump apologizes to Brett Kavanaugh and his xe2 x80 xa6 Score None Sentiment None',0.06628787878787878,Positive
b'Tweet b She xe2 x80 x99s jealous Trump is still 1 000 percent better than the alternative Democrats should xe2 x80 xa6 Score None Sentiment None',0.5,Positive
b'Tweet b RT Was There a Connection Between a Russian Bank and the Trump Campaign Score None Sentiment None',0.0,Neutral
b'Tweet b RT Trump says it s a scary time in America for young men nbut what he really means is nhe s terrified of women coming forward xe2 x80 xa6 Score None Sentiment None',-0.06666666666666667,Negative
b'Tweet b RT Coach at my gym wearing a Triumph United Muay Thai brand t shirt was just told that he s a racist for wearing a Trum xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Dear White Woman You are not my ally if you get more upset w me than your own ppl when I bring up the 53 of voting w xe2 x80 xa6 Score None Sentiment None',0.3666666666666667,Positive
b'Tweet b Even Nikki Haley xe2 x80 x99s resignation was weird and sycophantic towards Trump family Please no more articles about how sh xe2 x80 xa6 Score None Sentiment None',-0.375,Negative
b'Tweet b President Trump is expected to sign the SUPPORT for Patients and Communities Act H R 6 into law soon The bill xe2 x80 xa6 Score None Sentiment None',-0.1,Negative
b'Tweet b RT The NYT investigation into the Trumps taxes is a fundamental game changer in American history says the New Yorker s Adam Dav xe2 x80 xa6 Score None Sentiment None',-0.08787878787878789,Negative
b'Tweet b RT old joe xe2 x80 xa6 Score None Sentiment None',0.1,Positive
b'Tweet b I suppose since there is no corroboration about the priest xe2 x80 x99s sexual assaults then it never happened xe2 x80 xa6 Score None Sentiment None',0.5,Positive
b'Tweet b Former FBI lawyer The plot to record and remove Trump via Amend 25 was no xe2 x80 x9cjoke xe2 x80 x9d xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Siskind Nope I will not calm down in any way I plan to remain fully enraged for the next 28 days and donate and volunteer and xe2 x80 xa6 Score None Sentiment None',-0.10185185185185186,Negative
b'Tweet b RT TRUMP TEAM ELIMINATION BRACKET UPDATE n n1 Nikki Haley has resigned n2 Watching Trump get laughed off th xe2 x80 xa6 Score None Sentiment None',0.7,Positive
b'Tweet b RT Hate groups like the Nazis have been taken mainstream by the Republican Party and Trump Study 11 million white Americans xe2 x80 xa6 Score None Sentiment None',-0.4,Negative
b'Tweet b Is that what Trump taught the people of N Dakota You can say nasty things as a Republica xe2 x80 xa6 Score None Sentiment None',-1.0,Negative
b'Tweet b RT Obama donated zero of his salary is taking a full pension of 400 000 a year full secret service detail and Michelle xe2 x80 xa6 Score None Sentiment None',0.09999999999999998,Positive
b'Tweet b RT Rosenstein and Trump No collusion No collusion Score None Sentiment None',0.0,Neutral
b'Tweet b Twitter Users Erupt After Trump Apologizes To Kavanaugh On Behalf Of Our Nation n nMy obscene reaction to this obsc xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT xf0 x9f x92 xaf xf0 x9f x87 xba xf0 x9f x87 xb8 PRESIDENT TRUMP xf0 x9f x87 xba xf0 x9f x87 xb8 xf0 x9f x92 xaf n xf0 x9f x92 xa5is MAKING AMERICA GREAT n xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 xf0 x9f x91 x87 n xf0 x9f x9a x82 xf0 x9f x8e xb5ONLY JUST BEGUN xf0 x9f x8e xb5 xf0 x9f x9a x82 n xf0 x9f x87 xba xf0 x9f x87 xb8 AMERICA IS BACK xf0 x9f x87 xba xf0 x9f x87 xb8 xe2 x80 xa6 Score None Sentiment None',0.4,Positive
b'Tweet b RT xe2 x80 x9cI think I can do more good for the country and help President Trump more effectively by being in the Senat xe2 x80 xa6 Score None Sentiment None',0.575,Positive
b'Tweet b RT to President Trump you should know that Democrats really don t want you to nominate Cory Gardner Steve Daines or Pat Toomey xe2 x80 xa6 Score None Sentiment None',0.2,Positive
b'Tweet b RT NOTE PROOF OF COLLUSION hardcover preorder is now only 19 89 Price drop just came through Book release is in about 3 xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT xe2 x80 x9cPresident Donald J Trump Approves Florida Emergency Declaration xe2 x80 x9d Score None Sentiment None',0.0,Neutral
b'Tweet b RT TedCruz chickens out of debate with BetoORourke n n BetoForSenate Beto4Texas Beto TheResistance MAGA Trump FoxNews R xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Upset by rising healthcare costs Lack of wage growth Corruption in the Trump Administration n nYou can be part of the change xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Nikki Haley Resigns n nShe called her time at the U N a blessing xe2 x80 x9d while Trump told reporters she did an incredible jo xe2 x80 xa6 Score None Sentiment None',0.9,Positive
b'Tweet b RT 17 Expecting hoping that Trump would fire Rod Rosenstein some people were shocked to hear that Rosenstein accompanied xe2 x80 xa6 Score None Sentiment None',-0.7,Negative
b'Tweet b RT A Senate Democrat Reportedly Outsourced Parts Of The Russia Probe To Operative Linked To Soros Fusion GPS xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b The U S is respected amp always was The clueless about that fact are Trump s admin including Haley appare xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b Trump officials have talked to Goldman Sachs xe2 x80 x99 Dina Powell about possibly replacing Haley in UN xc2 xa0role Score None Sentiment None',0.0,Neutral
b'Tweet b RT Pres Trump says daughter Ivanka would be wonderful as Ambassador to the UN but he doesn t want to be accuses of nepotis xe2 x80 xa6 Score None Sentiment None',1.0,Positive
b'Tweet b RT Senior Trump campaign staff met with a foreign company about creating fake social media accounts and gathering intel on xe2 x80 xa6 Score None Sentiment None',-0.19722222222222222,Negative
b'Tweet b RT Trump claims xe2 x80 x9cpaid protesters xe2 x80 x9d during Kavanaugh confirmation xe2 x80 x9chaven xe2 x80 x99t gotten their checks xe2 x80 x9d Score None Sentiment None',0.0,Neutral
b'Tweet b RT If this don t break your heart you re a Trump Republican n Score None Sentiment None',0.0,Neutral
b'Tweet b RT Not Every Republican Is Celebrating Trump s Kavanaugh Win Score None Sentiment None',0.8,Positive
b'Tweet b uk Just be honest for once yr so called ppl xe2 x80 x99s vote is a 2nd referendum to stop the 1s xe2 x80 xa6 Score None Sentiment None',0.3,Positive
b'Tweet b Owned by TRUMP Score None Sentiment None',0.0,Neutral
b'Tweet b GaslightAmerica n nBlack is white n nUp is down n ntRUmp is respected Score None Sentiment None',-0.07777777777777779,Negative
b'Tweet b RT Here s the story that mentions Chicago Unit Acquisition today Score None Sentiment None',0.0,Neutral
b'Tweet b RT Oct 9 2018 10 14 53 EST Post 2376 n n BOOM xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT Upset by rising healthcare costs Lack of wage growth Corruption in the Trump Administration n nYou can be part of the change xe2 x80 xa6 Score None Sentiment None',0.0,Neutral
b'Tweet b RT This should be a Public Service Announcement warning young women what their lives will be like if Donald Trump Mitch McConn xe2 x80 xa6 Score None Sentiment None',0.05,Positive
b'Tweet b RT Trump officials have talked to Goldman Sachs Dina Powell about possibly replacing Haley in UN role Score None Sentiment None',0.0,Neutral
b'Tweet b RT Look man people on welfare are abusing the system but Mr Trump merely took advantage of all available loopholes Score None Sentiment None',-0.04999999999999999,Negative
b'Tweet b RT Trump incredibly starts Kavanaugh xe2 x80 x99s swearing in by apologizing to him America xe2 x80 x99s women don xe2 x80 x99t count And Trump xe2 x80 x99s clai xe2 x80 xa6 Score None Sentiment None',0.9,Positive
b'Tweet b RT Was there a soft coup effort against President Trump Check out my podcast today for the troubling details DON xe2 x80 x99T MISS THIS S xe2 x80 xa6 Score None Sentiment None',0.1,Positive
b'Tweet b RT 21 I would do Trump himself an injustice were I to leave C2K as the whole of his contribution to American government His xe2 x80 xa6 Score None Sentiment None',0.1,Positive
b'Tweet b RT Great news today from POTUS lifting restrictions on E15 this fuel can be used in 9 out of 10 vehicles saving the consume xe2 x80 xa6 Score None Sentiment None',0.8,Positive
